title,url,publish_date,period,sentiment
Institutional reform needed for Bangladesh’s economic challenges - East Asia Forum,https://news.google.com/rss/articles/CBMiowFBVV95cUxNRUxZMC1tM2hjN3RTVEE4MkJ5NUZGemJiYzZyWnRObFlHZkpSaE8xUHd3SjlnbmliVEFCQVNxMUJXSU0waHBNeWxmb0g4TWM3RjRldmR3eHJVb1NEcHA3MTBuSVVOdmRMMkQ0WWtnQUVJQU9qT0NBdmd4aFMyRkd6V0wydEpxNDFGRDN2QkJEbFBLNVlxSVFrSTJvZ1BPRHdrVE04?oc=5,2023-01-07,Pre-August-2024,Positive
Rohingya Crisis: The Picture of Fund Crisis and its Impacts on Bangladesh - Modern Diplomacy,https://news.google.com/rss/articles/CBMisAFBVV95cUxPLUhwYnFUN1hZLUFlVW9BQV9rYTZZLS11eGRqSWgzRFBOWVJYMTNVWWE5WWdUM2czQ3FMTFNHVmFtb2VTc1JZUEVKT1BldWR0NTNLYmJvUlZVeDZhNlFGRlcyUE9MdHREWWZtN2Y3dTVSSnY0NGZJWXlQUnBkbGVHdW1jQWd5ajhpN3JjRmdZZFloZ0xJdWU1MERIYmhsaUl4a0c2SG14Vk5xWUdNZklzUA?oc=5,2023-01-12,Pre-August-2024,Negative
Bangladesh to get $4.7bn IMF package - Al Jazeera,https://news.google.com/rss/articles/CBMihgFBVV95cUxPYWVVc1ZJMXE5WmJncWNORnRQRU5jMHhCVmVhb0dVNko2eXpRUXFRcmlEbFNMaWVTSmhrVlNENWttS2sxc2JPcTZUeXlkei1nWldHZ3VWdmtkdDdVVjFSYjNDME1tamljdXljTDNlTG1CZy1NcHpIdjExb3pkbzFaYzJMdnNhQdIBiwFBVV95cUxPU3FTNzNscHFTYnY5b0d5MFIwUTRwMXlqdnF2WUdQNUpJTUYwX1ROUVVPZXZWX0oydFMtb240V3hBMUxwOVVQUFlBV3RVWTc0UXV4dHFuZkU0MVQtXzNic2padWwtSXdialZsLXhmbmZlVk8yRENyM2psNXZTUXdEQWx3a05TWmN1NDJv?oc=5,2023-01-30,Pre-August-2024,Neutral
A Troubling Economic Trajectory in Bangladesh - orfonline.org,https://news.google.com/rss/articles/CBMihwFBVV95cUxQSDMyM0E0c2pwQ1lyWWMxdWtNZE5ZbURoYlR6aW5RZnFLazVaSHVuSmU3UmJ1NXdCcjBNNWUzSjAyTEpBeDZyc21UM1BCeUF4X0tlNFdsY0tuZUJJTjhBcEhwbFZGaFJuSjQxenFLRVhaTjE2QTdhY3ZBYTBsRVZscTh4NlNRS00?oc=5,2023-01-17,Pre-August-2024,Negative
When will Bangladesh’s economy reach the $1tn milestone? - Dhaka Tribune,https://news.google.com/rss/articles/CBMingFBVV95cUxPUEstZ1pyZWlXRzZrSVotZTNCWms3LWR2amh2ZFRZQ0tJbndwWjl3WkhJbUtmdmFEY3ZfdlMtd2FFUjNKZktLRG1Fd2piQ29Qdll3VF9TcERLSDZhOTdyLWc3Nmh5aTZ2enB6S2Q3TUJ3SFlhVGFpR2dLUHhMUWxuNGRaSjVQN1FrSnE1Mm5wNnFrMVZzV2E2YkRhS3c1QdIBowFBVV95cUxOWmwwSmpSNXhhTWRBTnlqWndmdTNsR3BXWFBUR2w1ZEE4ZzR0ZnM4RWNnTlZLc3d6a3RKZkJOTW1TQVhvaGg2TDNmTGhMcFhxajlkY192d19DQjgtTl9TcFFDZmw5UnRXWlEyYkw1SjJQazdFdEp0dDRFVmpfMXBtRk1ZR1J5VlNDREFxaHRQX2tlWEUwVmVvTjktSlAwT0gzOHlV?oc=5,2023-01-18,Pre-August-2024,Neutral
"Bangladesh develops green economic zones, but will locals benefit? - The Japan Times",https://news.google.com/rss/articles/CBMilAFBVV95cUxOTlZjbEEzU21hSEVGMmZuV0lZSlBnZF9ETTFlWVZJY1prM1hRR0tQRFRoZkFqaGFMdzZPa1lmeWlUOElJdnFOYW9mNnJTMUNJZnF4WVhhQWJhWmtJMDVtQkpXNHlFaDN6b2h3WGd4TGprSEFjSkVaQ3BsbWY1Zkc1aXNXRzF2aUlpbU52N0dxeUJ3akVP?oc=5,2023-01-30,Pre-August-2024,Positive
"Bangladesh develops green economic zones, but will locals benefit? - Context News",https://news.google.com/rss/articles/CBMiqAFBVV95cUxNNEdTOVQzM1BhYk5DaGQ4NUQzMTl3RGdia0ZvTjl4aEszbUMwWG1kOGMwdWlMUWhVQ1hGSUtKS1Z4S0VqeVVtU0JjbDEtck1tMWZ1WkFrYjJmdFdRU2hmejVPLWU3N29DazZOMVNjRk9SdkdlYThTajh6bk1UN0Z4N0J6NDhRZ0wwZWc4X0tEN3Zfc0JqRnFaNVVoWkdZZkJvalFTaVpEaHc?oc=5,2023-01-25,Pre-August-2024,Positive
Bangladesh’s economy 35th largest in the world: Visual Capitalist - The Daily Star,https://news.google.com/rss/articles/CBMiuwFBVV95cUxOc2NUZ1hWaFpyTzNacXlUQllxdURMNVZMVkIzLTEwZzJpeUMyd3J2VHlUdVFWNkRVTURyVE1MWFV1cHFOQlV4cnQ5dUVFbWJvTVFVUk1uUDhoSnhzdFNSb1p1Vy01ZnpDbWNBSzNQRFMxTnZwOWFQZ3p4WTM1YVVVaTNJM3lKV2RwY2NpbUVGdXJvdXM0Tm9FMFgtcHcwR3dyaFhJQTJvclRRbmJIcHdtUTFqSXdTbjFxZVgw?oc=5,2023-01-07,Pre-August-2024,Neutral
Hope and consternation as China economy reopens - The Business Standard,https://news.google.com/rss/articles/CBMiiwFBVV95cUxNWVlZRmlsc0RjVExqc0c3dmQ5R181OVpLb0F2N2dELUZoRWJBWTR4cUstLU4wanhxRWlZWlBmUElPMFJCTUg0U1NWaEtVVFZCRGkzakhjR2hxa29Gal9namhMRm5VQU03dFk0elZOS2oxMV9uVlliVkpjenQxSVVZdk96REl0b2lsdzM40gGQAUFVX3lxTE50eTIwZ3RaN3k5WGNuNlpIQ3FXMll0WUhsWjNTZ0R1SVdDbG02ckUyNEpNV0ZjT2pSNGFtOUswaFU2UkpFUUk0c0xTeTdpRkhDTzdsMkVQR1UtSWNfcUV6X0FDUDNNb2dTY19SdnZuZmxpNHU0Ny1KMU1DcTVtNjZQcmRyRUhLZ0x0bklSbG9MNg?oc=5,2023-01-07,Pre-August-2024,Positive
Bangladesh now 35th largest economy in the world - Dhaka Tribune,https://news.google.com/rss/articles/CBMimwFBVV95cUxPaGtocmUxVmw0dENDbm44Z3Myc0xqM1JZT0RBdnFNbjVSSGNYXzJEOEhBQU43TVhmNjNYQlF3T0M2RUlPeEhfUS14UDY1WThKN2theFBqeEE3dGg3eEV6MEhDaTNJb1ZqQnJLSkhybUtyQWZXTDFmV1lFRU1BakN2aUhvV1huVFc2WERHdEVMalBsZTFVX1pyZmFKQQ?oc=5,2023-01-06,Pre-August-2024,Neutral
Bangladesh on track ‘to become a trilliondollar economy by 2035’ - The Financial Express,https://news.google.com/rss/articles/CBMixwFBVV95cUxQODU4S0ZqQkt5c0tjMTdJa2UtUTRJUk9UQk54UnprR0FzRVladW8wYi1OM3A0cUczS3psRWRwelJZRXp0UDRkMzFxdkNicHZpUnJBRzQ4Y25HTDFaa0tBWjNPYTFxYUpXbndsTlZfY0MtQnZ6eXQzTk84UjlOdWUxeWlpekRHNzZrS0Q4UEhHZ09LR0FuNVRHOVl2a1VQS3Z5bG5NdXZlMklHWDIxTVh5ZTk0NHY5bkJPNThJMkgwRGtISUFfYVJ30gHTAUFVX3lxTFBGeGhGTFhtZTJOREpobE9oNWpZUXZ1c2l3R3ZfY1VGYVlDaHZRUWI1NGpLQ09lYW5ENGhvRXlTYlRfRC1uYXB6SWMzN0RuU1F4bUdUSS1XMTBuekJQckdPblRySGZrelBtQ3BBTnBOWHh1QXk4X1UxM0dLbG9seUhndkZyT0RCT3RPTWR6cmhKTnR6TDVzc25ua3I4dW1KeEh0TFd3SjJJMVpaY1RQaXRUOTZ2VG9WOGttN0RxMEQwLW41eWNYRlRwV3VRcVZ3dVQzQU0?oc=5,2023-01-20,Pre-August-2024,Neutral
The stock market-real economy ‘disconnect’ - The Daily Star,https://news.google.com/rss/articles/CBMinAFBVV95cUxPWVJNNzZCcThzczg0ZVNQYmpjaVBRVGlGcGdwbXdJWWk5cThEbEI0OUc4RlVtMEJtUTZDSE9WRlVTWWhrN1drXzZOYkNyWXU5aEEwY2QzM1hFVllodEFWMkF4YmZaeEF0RWxiT0RONE5vbHBnTGUxM2FhN0hZUnVNOTdZdXFDbndaSW1TQlN3MFNCQmo4UEl3Z1Zmck0?oc=5,2023-01-25,Pre-August-2024,Neutral
"​Inflation, debt crisis biggest threats for Bangladesh in next 2 years: WEF - The Business Standard",https://news.google.com/rss/articles/CBMipwFBVV95cUxOamZjcElGNlZSQVg2NFVtQUJhZjl6RUxfMmVabzdhR3VuSXBROTd0bHZ0MzV6ZmoxRTJ4aXA0SzBTTG1oaGwzSXN5a044N2ZBZUQ2b1lLWDgxQ2I2MTdEUldQZFk2WVg4M1Y4NzNxTDFBZWx2Q0V6cWhkR0J6YmJXa1JvSGtSRWs2ZXlGZEZiNTBwOGkzcmNlQm85b3lNMGlCS2tVX1hsNNIBrAFBVV95cUxOd3NocmNxb1BIMkYzcVdCTFgtX1ZwUnRtUjFRd3VHMXE2Yi1Yd2RwSkV5dm1JRW5BWlc4TzhIbG9mMVFwSHZiZ2t1bXdibUFiZVJPdVNwWDhielQyME1KXzVnM25kdmVNRTJGdUoyb2I5VDhqQURUTmVlVEpIbmduNnZnUnV1amdxRjBTdzF3bHVCQ3pRZXF3ZlJKZEtpckVFQkdIdlpwV3NxaGR2?oc=5,2023-01-12,Pre-August-2024,Negative
World Bank: Bangladesh is a true global champion - Dhaka Tribune,https://news.google.com/rss/articles/CBMiogFBVV95cUxQT01UMDhSeTQzekVGX1FfYkJxWkdoM0FieHlJRHBRel82VlNwMy04UG4tMXEzUVl2dTZncHI5TjRsTGNIc25rWmlncGgzOUlTT0NKZEhvQXVJeDZmRXFyYXNUS29OcDEtN0FtbGFhVmZLNHNhMzZ4RE9aZ3FHMVBxM3BRMnVaTS0wMHFQZmxVWElGZUN1bHBON3FIN1g3WENrcFHSAacBQVVfeXFMUHQ0Y1l5NzZwSHZINThlaGtFdUxLbDRGenlBTTVoZkNTaDUycFZDcWhFOFRsZzdSeHNNWk14RDlONVVPV2JveV85RG16V01icXFRcmxfRms0cm9jemlsSmV1eGpsUE1hVEg1Tzl1Umh1eXRrWGlUZTl4NHRnZ3duLTlqVnFWWmtJQWhDR1V5N3RTRTMxeTNWUGlTTnhZUjAxa0Z2Y2JZaG8?oc=5,2023-01-10,Pre-August-2024,Positive
Overcoming looming economic challenges in 2023 - The Daily Star,https://news.google.com/rss/articles/CBMisgFBVV95cUxQV1c2UU9kNHBvMFBUR3FNVTdNc2R0X1lsUzlKYUJQM0VFZzV2UUk5a0hnU0tNMElpS0lsY0hGOWtwWUttcDAzaU9hcF9yX0dMREFuTzNmWTU4RFJ5MmJNeWNnMTA5ZGFWMFliYk5OSGFSc2tjeDVMVEFzNmFqUFh5dDlsU1dMVTNUd2xFZEpNQzZpdkpsT3djZmNkQ3pfU19EWHQzTDVITEJjNUg5NVR4eVJ3?oc=5,2023-01-09,Pre-August-2024,Negative
"More challenges for Bangladesh, South Asia as global economic growth to fall in 2023: UN - The Business Standard",https://news.google.com/rss/articles/CBMisgFBVV95cUxPWWhPanpnaXlCc05oTEtnSDBGZktOSENoVU4wb0c1aEszWTZ3Mlhycy14bEdLQ2FXTGVQV0NLZ1doQ3l5NGR6YWwyWTJOdHhEVXVPSnRLQkFuOV9QZmU1RTlIZXhmUVY5UGlERWlfOTZGYWJWUzJjWFp4b1JIOXNjdXdEZnVKam9MOWVoTDNZT3poMVNPSS15NUhpdzhjQ2Q1ckNJS01HWHpUZVlqWlBsVGtR0gG3AUFVX3lxTFAwSGx4aGRfX0s5Y0R2blk1MzBJZGZGWHIyQktVV3lLdnFjT0JYMVc1MjJmZlhvM0pVZ0J2akY3ajBlcHJOQ1h5eGI2Y2h0SmFGd0RRT2hreEkxdW9WdVVHdWRySW5NZUhmbUV2VWNDcGctcDJ6ZS12RnlUcGhfTm9WRkQ2czNSeDJYOFJENFhjUHNjN004ZUhLSWE3M3czV1djdEFTSXBzMGtVbU4zakM1UGJYdUdVcw?oc=5,2023-01-26,Pre-August-2024,Positive
IMF approves $4.7b loan for Bangladesh - The Daily Star,https://news.google.com/rss/articles/CBMilAFBVV95cUxOSzNQSEUxLWN2bG5ydFBLS05QVjlrTmlnTnJpTktkemFnS0kyeGdTQVBGcXdYRURJZEhhSEhhQlgxUmdNelhSQUtsMXlKa0lvRXJ0bTU4Uk13aVhfOUxVYWxWb0dWR3cxMVN3bk1OZXJUYm9vbTNPLUZJRDg2MzBUb3pVanVJRGh4djFLc21WTi10b0xZ?oc=5,2023-01-31,Pre-August-2024,Positive
"IMF approves $4.7 billion loan for Bangladesh, calls for ambitious reforms - The Business Standard",https://news.google.com/rss/articles/CBMikgFBVV95cUxPRGoyZy1iNGdhTzFxcEZ0WE9sX1drSFptUmQtcURMdGtXVk1oY1VXaTMzSW1YVElxbHJLOXJmQ3psMi10VEpCeWRiTEEtY21fX3IwYWVtVmgzQWphSDEwbGdaWVcyQkdwTVpWQ19BQ2FfdXVBUnlmcnJhZy1PUV9GWVJJZVRjRDdWWnF3UlQ3STBNd9IBlwFBVV95cUxNNmpTdW1BbXFrcTE4WFJXNWFTSmk2X1NkbkRoN1RyV29RX1N1eFB0bVNxNWNfQk51dU0xVC1paHRNbjZfUUhrbnppUGhBeW16MmhaY1h4a25ra3FPUDh5N2dFZDZjSkRkdlBWMkVFMFk3eDFRRE1NcE9GVmhJZE0wdG9rbUlxTXRDTzh4SGd1eUtfaGxLWndz?oc=5,2023-01-31,Pre-August-2024,Positive
Three risks ahead - The Daily Star,https://news.google.com/rss/articles/CBMiggFBVV95cUxNdHB2YWRDUlJHNGFIUC1KazRfS3RpNjBhajU2WVh3VGJKX1IxekM1cWdBNldnVjBZSHlHNzN3WVNQLXB4V01nZ3NSZXliNVpHVnJrOEx2dDVmWlpybjZvaWNhajN6dk83cHY4dlNnYU14OXlLbGhpT2tXaWJFQ1BFQ0R3?oc=5,2023-01-30,Pre-August-2024,Negative
"India extends anti-dumping duty on jute imports from Nepal, Bangladesh - Business Standard",https://news.google.com/rss/articles/CBMi3wFBVV95cUxNVUp3dHdvYm9IZ1hDNGJfZk84MWNlTEZRQnlGY04xaWRLRmxxNGprMjVEeTJQNFVoaVdmNVRab3R0c1N5X09fVVNCdUR1M0pJN1dJQTFxOUtlbWlUVWlXQnJlLW9ydWM5VllCYU1obDdha3Z5VEYyWU9RUGxpbU5GTUVRUGx5X2hpNUd4enpib2FtQlBwWEh6RUZVVVVtdmo5WXBtQWNsQVFtLXFKM1RILWNKRkxQeEJhMW44OTAyLWVyNkJoaURqNXU2eUtTYkNWQ3VPZHFLcFlaTWlLbF9n0gHkAUFVX3lxTE1MSnMyV0hyNXhEWE9UVVBnRjVCV2R3dGIzcFBmaXExRVFqdHNOV2pVLWs2eHJzTlIwNlJaSkZPOWR1R0J0V2J6blNKdzUzYlZYMHFPWk9TRm1PM0JXNTFmdEp2Tm5oS053UUpTdHlPYXZWRFJnRzZzbUdzSTNxUG1JQklSd0tsUGhIMTIzQ2RmRU1kbHNfczRGSU9qaTZZQ2ZXc1B5am9YWHFfM3ZsZF9BM3A4OUpGX1gyR1BXZ09MeUU1bmgwU0lORTF6dUt5aC1SRWdfemFMZEhjZEpUNnVoWjlKRg?oc=5,2023-01-10,Pre-August-2024,Positive
"Eyeing $5b by 2025, local IT companies expand global footprint - The Business Standard",https://news.google.com/rss/articles/CBMifEFVX3lxTE11QnRyb1Y3TUlpM29jM21yWlY2VXh5VXlpRFNNbDlWby00dDl6RC1peHMxTzU2TXRVc0xwNlZ6aDJhQ09sODhncjN5UkNQNXRzSjFFbkt6d2RQU3pTeGo1ak1rTjFCZ2tkR0RXVllEWUJqdkp0RVNnaVZ0UlrSAYIBQVVfeXFMTXdENmg3QTN1YlNSc0pGdld1SUF6Z2ItNXhiVkNVUWsxbTBCcEY3aG0wTFVVMEl2dUY0Ukc0VUg0cE1rTmJoZTFTc3U4V19hYk1pQlducktkeWZqeENtMkVpdWJmcHRROTlXUF8xYXNVT1BoSUVRNTNiVEtpdUV0U21Tdw?oc=5,2023-01-01,Pre-August-2024,Positive
Bangladesh Matarbari will become regional hub in South-Asian economy - India Shipping News,https://news.google.com/rss/articles/CBMioAFBVV95cUxORXFNeWlvbXlmbER6c0NPWFpTalBaZVJScTYwQnlBMDAyaXprYkRLMzRYMl9qNzdpXzBlQ2RSVHA5bGx5THJtenRoVUE1VWZCajhfWFZkYkJDZDVSRmgwMm85Snl0VS1tTXF6VEtoSDFaTVo0Y0dWcm5ZdWFQclloM2FXN1N3WGJ5N0d0a1ZCZ2o4R2k2VDc1SUdqTUo4c0tR?oc=5,2023-01-13,Pre-August-2024,Neutral
What's so great about English education anyway? - The Daily Star,https://news.google.com/rss/articles/CBMiowFBVV95cUxNWXBKdG1nTndZZHF3WnhyYTduVlAyWUZieC1Fb3RzdWJQbFhIMzRfWFdlVm9RS3lXd254dTVkdWkwT0RWSUR6dUVkbkJ1RHpwMHBDMVhGcnJHU3BtVERjYXhyRFg5dllOQjU0TTV6MEM1MEdmMTBaSkhzOFgweW5ONF9Fd2FjdV94a3dJTW83OVZjRU1PbjlzX3JXODNtU2VOVm4w?oc=5,2023-01-12,Pre-August-2024,Positive
World Bank cuts Bangladesh’s growth forecast to 5.2% for FY23 - The Business Standard,https://news.google.com/rss/articles/CBMilAFBVV95cUxPVGxJelBQakVfOEw0aHZCdzdkVXo1WFE5NWVxcEVvaXFTN09OZWtUaW1ZX3NmeVdJWlpPR2lVY1Z6a0pLV0Z6TU9JenQzcXI0WC10clVicTdMMTBUYnFVU3BOdmVxZXJ6cFJSNWRxUEx1LTdsdk5RVk9KMXF4ajk3U1JtZi1rc21UcGt3MnIzTUktQ2lN0gGaAUFVX3lxTE1TN0lFMFQ3TEtUQ1gyT0tKWm5PU2dNMmdtYXhYLWxXU0tWNnRMVC1TSWh3czRQVmQxd1RrLWJ2VURRa3hDNVhjVFZpNmxuUzlyVUtjcmMwU09MSUcxSlRJYUtuZU5PSlNhOXRNQjZGTjFZN2lMa0pJc0NMN2s4VlZSM0h4aFUwV2U0MTFPV0hPWTN6dVNtNXVQd1E?oc=5,2023-01-11,Pre-August-2024,Positive
Cold War redux in Dhaka - The Daily Star,https://news.google.com/rss/articles/CBMiggFBVV95cUxQTVZuaW5INmtlcGxLNTU0ZE42NGd1X3dtWVM3V0FQRzJnTC14U3dBWnRlV1BCMDlSdkJTdVpEaWZ4T3RWOEhRdGVKb0k3WmtabUZWZ2huRTk2dlJ3eEJhckdnaTRCMzVwWmt4X1U5RnBYb0V5eWlQa2NSbElaeHBrTkJR?oc=5,2023-01-16,Pre-August-2024,Negative
IMF approves $4.7bn in loans for Bangladesh - bdnews24.com,https://news.google.com/rss/articles/CBMiUEFVX3lxTE9zNmtEUWhiYVE4YXd3UWpNeVFSODFlcUE3NHNyQ1g5NG9DYVlTWTc4alNzVGxlNS1NcTBFNHJ2SUtGMXcwWWlMY2hLMENRWHN6?oc=5,2023-01-31,Pre-August-2024,Positive
"Leading global MNC Azelis set to invest big in food, pharma raw materials in Bangladesh - The Business Standard",https://news.google.com/rss/articles/CBMitwFBVV95cUxOREUxWDd5OERnZGsyd1dxaENHSkxib1FKTTEzcGxqUjd6WTBrTVpUZFVkbUxfU0FjNjZVZXgtWVZsU2lfSW85d3NZTFRDMDc1TXROdDNlY1JhelpCXzU1SGVMQTBSNjgxSDU3YlFWcFMwTzBUQVVNNGl1TEdoSl9sZDZVRUFjRURpV0ZhdlpaY0cyOVVqYnRnOFdOZGJxR2FYcFpRU0VHTWlQeG16ZGdFOUliQWlDOEXSAbwBQVVfeXFMTlIzd2ViaklFV3JFRzY2MkVXc2FhN1FDZDlXdkFtZVdERUtScU80NjJaVlgxbWxoTndSMnhBVjV3UThCVWZXbUhyNXNralpsTnBJOVlDUWNBWlhFcFFDTkJhbk41c2RYb1lxWkliQ0FzVEtfMVhDMXR6eVU4UGwzeW9PbmJLSmoxV3phZDF5RWZhSDVMb0ZSanVaMTE0Z0YwbmdSdllVd0ZTVkkxdUxqQ29uWmN3RHFEWTF0S2Y?oc=5,2023-01-16,Pre-August-2024,Neutral
Unemployment hits all-time high at 6.91% in Nov - The Business Standard,https://news.google.com/rss/articles/CBMihAFBVV95cUxQVVZjMjhQbHVyT1VKNjVZeEY4aVFGNDZBRHlZY2xEakRjT2xHeG9jaUV5MDZoY1lIZTVhTnNWcmxNZFpwcGdHSmQyUGZRU1NLckRQR1ZKcTJYWHNPdXRZOTliX2lIcWFvbXZ6bzNYd1llQWpHT2tOVC1jd2RpMUVNc2RGY0HSAYoBQVVfeXFMTlBiTFdEZGsxbi14T3E2d0EyTldSRmVLb2hsSzFwOTJXcXAtY0t4UEU4NzFqbExyNXl4em1xeERBcGhvRHg5dzZkcWZzdDg3d0lOOHRxNi1sdTkzenZpNG12VF8xMHlIaXkteDI4cVpkLUhYRWVmdDE3SHZRNEVhd0FZd1JSckpKOHRB?oc=5,2023-01-17,Pre-August-2024,Negative
